# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 378981 --end 386951 -b "STABLE BEAMS" > lumi_2024.txt
#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 380895:9644  | 05/18/24 14:21:24 | 1922 | 1922 | 0.000219312    | 0.000215969   |
| 380932:9651  | 05/19/24 16:08:11 | 30   | 22   | 0.000373571    | 0.000244090   |
| 380933:9651  | 05/19/24 16:19:32 | 797  | 789  | 0.012868866    | 0.012463798   |
| 380934:9651  | 05/19/24 21:29:12 | 367  | 367  | 0.006235254    | 0.006029036   |
| 380942:9653  | 05/20/24 05:07:12 | 93   | 78   | 0.022722638    | 0.017362221   |
| 380943:9653  | 05/20/24 05:43:20 | 83   | 75   | 0.019555040    | 0.016606569   |
| 380944:9653  | 05/20/24 06:15:24 | 63   | 56   | 0.014481712    | 0.012047219   |
| 380945:9653  | 05/20/24 06:39:35 | 253  | 246  | 0.104793537    | 0.096123264   |
| 380946:9653  | 05/20/24 08:17:43 | 518  | 511  | 0.135175043    | 0.126020266   |
| 380947:9653  | 05/20/24 11:38:49 | 827  | 827  | 0.267113815    | 0.259079287   |
| 380963:9654  | 05/20/24 20:41:57 | 935  | 935  | 0.377002103    | 0.359548803   |
| 381022:9659  | 05/21/24 23:52:28 | 593  | 593  | 0.218815748    | 0.206439714   |
| 381053:9661  | 05/22/24 09:14:08 | 112  | 112  | 0.034778693    | 0.033228443   |
| 381065:9662  | 05/22/24 12:16:24 | 816  | 792  | 0.365458777    | 0.332301178   |
| 381067:9662  | 05/22/24 17:33:10 | 357  | 346  | 0.141181757    | 0.128250539   |
| 381068:9662  | 05/22/24 19:51:42 | 73   | 46   | 0.025901893    | 0.014732514   |
| 381069:9662  | 05/22/24 20:20:02 | 313  | 307  | 0.101558196    | 0.094687636   |
| 381070:9662  | 05/22/24 22:21:18 | 433  | 433  | 0.118624993    | 0.115752500   |
| 381075:9663  | 05/23/24 03:44:19 | 472  | 447  | 0.207126740    | 0.175608620   |
| 381076:9663  | 05/23/24 06:47:23 | 17   | 1    | 0.008133345    | 0             |
| 381078:9663  | 05/23/24 06:53:58 | 343  | 335  | 0.149353429    | 0.136595902   |
| 381079:9663  | 05/23/24 09:06:56 | 406  | 398  | 0.143805279    | 0.134654286   |
| 381080:9663  | 05/23/24 11:44:26 | 382  | 380  | 0.112087021    | 0.105843974   |
| 381113:9664  | 05/23/24 18:22:59 | 273  | 264  | 0.111276144    | 0.094488714   |
| 381114:9664  | 05/23/24 20:11:10 | 467  | 459  | 0.216579771    | 0.198867601   |
| 381115:9664  | 05/23/24 23:12:32 | 1317 | 1317 | 0.415199817    | 0.402094618   |
| 381147:9666  | 05/24/24 11:17:43 | 207  | 199  | 0.085618083    | 0.072048134   |
| 381148:9666  | 05/24/24 12:38:03 | 292  | 283  | 0.138730009    | 0.122598405   |
| 381149:9666  | 05/24/24 14:31:15 | 140  | 133  | 0.066326590    | 0.058796660   |
| 381150:9666  | 05/24/24 15:25:36 | 51   | 41   | 0.023442918    | 0.017693463   |
| 381151:9666  | 05/24/24 15:45:18 | 860  | 852  | 0.309840090    | 0.292800679   |
| 381152:9666  | 05/24/24 21:19:14 | 196  | 196  | 0.053516126    | 0.051863759   |
| 381164:9667  | 05/25/24 00:50:43 | 1214 | 1179 | 0.546345040    | 0.488812187   |
| 381166:9667  | 05/25/24 08:42:15 | 1    | 1    | 0              | 0             |
| 381189:9670  | 05/25/24 13:15:46 | 3    | 0    | 0.001001746    | 0             |
| 381190:9670  | 05/25/24 13:16:44 | 1105 | 1098 | 0.500767392    | 0.466171640   |
| 381191:9670  | 05/25/24 20:25:58 | 1121 | 1121 | 0.338739859    | 0.328508844   |
| 381199:9672  | 05/26/24 09:24:32 | 163  | 153  | 0.057775847    | 0.053607006   |
| 381212:9674  | 05/27/24 04:01:29 | 382  | 379  | 0.171729138    | 0.160131712   |
| 381286:9677  | 05/27/24 16:08:52 | 719  | 719  | 0.332359770    | 0.306861762   |
| 381309:9680  | 05/28/24 06:46:51 | 426  | 426  | 0.194348527    | 0.182689747   |
| 381358:9683  | 05/28/24 18:57:16 | 18   | 18   | 0.000865782    | 0.000666463   |
| 381364:9684  | 05/28/24 21:33:18 | 437  | 429  | 0.194052441    | 0.176113428   |
| 381365:9684  | 05/29/24 00:22:44 | 611  | 611  | 0.275258250    | 0.257557064   |
| 381371:9686  | 05/29/24 06:45:20 | 202  | 202  | 0.080555515    | 0.076229052   |
| 381379:9687  | 05/29/24 10:49:13 | 846  | 835  | 0.383154781    | 0.352762308   |
| 381380:9687  | 05/29/24 16:17:34 | 1372 | 1372 | 0.413164952    | 0.400142436   |
| 381384:9691  | 05/30/24 05:23:41 | 3495 | 3494 | 1.063201712    | 1.017835065   |
| 381417:9694  | 05/31/24 13:50:00 | 1789 | 1789 | 0.722903708    | 0.684727562   |
| 381443:9696  | 06/01/24 12:15:28 | 1520 | 1520 | 0.629320451    | 0.595136871   |
| 381477:9700  | 06/02/24 11:49:17 | 317  | 313  | 0.136364917    | 0.126039381   |
| 381478:9700  | 06/02/24 13:52:26 | 15   | 8    | 0.007193033    | 0.003199786   |
| 381479:9700  | 06/02/24 13:58:03 | 439  | 435  | 0.209553230    | 0.194630328   |
| 381480:9700  | 06/02/24 16:48:38 | 1273 | 1273 | 0.426383403    | 0.410029211   |
| 381484:9701  | 06/03/24 03:14:17 | 862  | 862  | 0.397797504    | 0.371628213   |
| 381499:9705  | 06/03/24 16:17:37 | 206  | 197  | 0.084361757    | 0.074723061   |
| 381500:9705  | 06/03/24 17:37:39 | 92   | 92   | 0.044049660    | 0.040055477   |
| 381515:9707  | 06/03/24 22:00:13 | 522  | 518  | 0.239157097    | 0.218444183   |
| 381516:9707  | 06/04/24 01:22:53 | 1681 | 1681 | 0.593436272    | 0.564479507   |
| 381543:9708  | 06/04/24 14:37:31 | 545  | 539  | 0.254911290    | 0.225887122   |
| 381544:9708  | 06/04/24 18:09:13 | 2022 | 2022 | 0.660336225    | 0.631565234   |
| 381594:9717  | 06/05/24 21:30:27 | 992  | 992  | 0.001005170    | 0.000918734   |
| 382209:9801  | 06/19/24 15:56:38 | 89   | 89   | 0.000011739    | 0.000011463   |
| 382213:9803  | 06/19/24 19:37:58 | 689  | 689  | 0.008399111    | 0.008110008   |
| 382216:9804  | 06/20/24 01:58:15 | 345  | 345  | 0.003858264    | 0.003781409   |
| 382224:9806  | 06/20/24 06:50:48 | 144  | 135  | 0.008046119    | 0.007117268   |
| 382225:9806  | 06/20/24 07:46:30 | 128  | 122  | 0.010083902    | 0.008769938   |
| 382226:9806  | 06/20/24 08:36:03 | 16   | 8    | 0.001259300    | 0.000286932   |
| 382227:9806  | 06/20/24 08:41:56 | 148  | 135  | 0.011668643    | 0.010218157   |
| 382229:9806  | 06/20/24 09:39:20 | 321  | 321  | 0.025056562    | 0.023607718   |
| 382250:9808  | 06/20/24 16:23:58 | 913  | 908  | 0.234539494    | 0.222954961   |
| 382251:9808  | 06/20/24 22:18:23 | 52   | 52   | 0.012182730    | 0.011883800   |
| 382255:9810  | 06/21/24 04:47:08 | 103  | 98   | 0.034268029    | 0.029303493   |
| 382256:9810  | 06/21/24 05:26:51 | 114  | 67   | 0.054250471    | 0.028260281   |
| 382257:9810  | 06/21/24 06:11:04 | 78   | 70   | 0.037094423    | 0.029686674   |
| 382258:9810  | 06/21/24 06:41:16 | 1160 | 1149 | 0.515521593    | 0.490696243   |
| 382259:9810  | 06/21/24 14:11:58 | 14   | 5    | 0.004779901    | 0.000000066   |
| 382260:9810  | 06/21/24 14:17:13 | 25   | 12   | 0.008485260    | 0.000000547   |
| 382261:9810  | 06/21/24 14:26:34 | 14   | 6    | 0.004726010    | 0.000000110   |
| 382262:9810  | 06/21/24 14:31:56 | 276  | 276  | 0.087257857    | 0.084153657   |
